,message,positive,negative,neutral
0,borderlands in on apple silicon yes yes it playable,0,1,0
1,mac mini vs mac pro interesting review of pros and cons an applesilicon based macpro is going to be monster,0,1,0
2,and can only imagine what the apple silicon for the macbook pro or imac will be capable of,0,1,0
3,to repeat something said at the debut if apple silicon continues to offer this level of performance and the hardware is exclusive to mac the pc market particularly pc laptops is in for some very hard times,0,1,0
4,is not the problem pixel size is the problem also intel is the problem apple can put tiny bump in the back of the lid to fit bigger sensor once all macs have apple silicon that will be the way,0,1,0
5,recommended read apple silicon developer perspective devopsish,0,1,0
6,imagining the possibilities with apple silicon what other features could apple silicon enable on apple computers own shares of apple,0,1,0
7,cardhop with apple silicon native coming,0,1,0
8,interesting blog post on the new apple silicon macs,0,1,0
9,before you jump like crazy on new mac chip good page to visit so is photoshop working fine crazy how mac is all about design then they don wait for the most used graphic apps on their platform to natively adjust applem applesilicon macmini,0,1,0
10,apple macbook air has that apple silicon magic,0,1,0
11,docker on apple silicon and sqlite as document database backhand index pointing right please retweet if you like my blog thanks thumbs up,0,1,0
12,but lot of android devices have core chips inside them what up with the iphone chips you will often find that the battery is bigger there too also the performance increase is well not thing the apple silicon chips for iphone are still unrivalled,0,1,0
13,in english it would drain your battery real quick so it not an apples to apples comparison or well actually it is but maybe not silicon to silicon,0,1,0
14,hey there fabio we are not yet compatible with apple silicon however we are aiming for compatibility by new years please note it could be early mid january at the latest for full compatibility we appreciate your patience and understanding in the meantime,0,1,0
15,if you re fortnite fan you ll love playing it on the new mac mini video gamejoysticksmiling face with heart eyes via gaming games gameplay fps fps twitch mmac mmacmini macminim macmini applesilicon applesiliconm applem macbookairm macbookprom mchip,0,1,0
16,want to see someone run gentoo in virtualization on apple silicon,0,1,0
17,apple silicon the next gen mx what else will boast cpu cores the tock will be about energising tsmc nm process with additional heavy lifting capability ies,0,1,0
18,selling my iphone blue gb with apple silicon case only issue is small ding on the bottom that also affected the case not sure how it happened but phone is perfect otherwise glass screen protector intact shipped with insurance signature paypal amp,0,1,0
19,apple silicon developer perspective steipete blog,0,1,0
20,need some simple modeling software for osx ideally native apple silicon for creating simple programmer art fbx import export do,0,1,0
21,where to buy the new macbook pro with chip the macbook pro with apple new chip is now on sale and you can already find top discount here where to buy the silicon macbook pro,0,1,0
22,apple benchmarks and microsoft pluton processor don forget to check out the latest stc apple applesilicon applem microsoft pluton,0,1,0
23,apple use of aws and gc is not uncommon apple behaviour they like to outsource anything that really can make difference in the user experience manufacturing cloud and all those backend stuff it even until recently that they ventured into silicon chips designing,0,1,0
24,apple silicon developer perspective,0,1,0
25,being able to run tvos apps on apple silicon macs would be killer it sure would make the new mac mini worthwhile media center computer,0,1,0
26,fyi the apple silicon pr was not backported to branch so it not in,0,1,0
27,thomp what are cats going to do with apple silicon that doesn get as hot face with tears of joy,0,1,0
28,and now all of this is basically obsolete with apple silicon the support for those new processors will be infinitely better baseline performance several times better and prices might be even lower despite all the improvements,0,1,0
29,noticing distinct lack of release notes for mono kind of odd considering it supposed to be the apple silicon release maybe boy sure wish had notes to look at,0,1,0
30,additionally apple is multinational company created in in silicon valley united states country strained by the values of pro market capitalist ideologies,0,1,0
31,why didn you wait for apple silicon,0,1,0
32,extremely wary of being an early adopter and it looks like ll hold out for the next generation of apple silicon,0,1,0
33,vibe get from latest apple stuff apple silicon amazing apple software terrible,0,1,0
34,when will apple silicon be released,0,1,0
35,any idea when the arm driver for will be available for macos apple silicon based mac mini any beta driver that could test shuttlexpress user here thanks,0,1,0
36,the nextbig thing is coming check out the video to see how has drastically changed over the years enjoy watching it apple iphone ecosystem homepodmini mmac applesilicon appleevent macbookprom bigtech bigtimedataxtra youtube bye,0,1,0
37,not possible windows on arm and on apple silicon are completely different things apple ui is gpu accelerated by their own frameworks win ui thinks gpus are unavailable it would look awful or take too much time,0,1,0
38,news the nm applesilicon in the macmini macbookair and macbookpro all outperform intel latest and highest end th gen nm tiger lake processor in both single and multi core tests apple applenews macs computer,0,1,0
39,mac mini specifications price and review bugs reported with mac mini with bluetooth connection future imac with apple silicon launch in error restoring new macs with the solution proposed by apple finder tags on mac what they,0,1,0
40,kay singh product manager at oracle cloud infrastructure has compiled overwhelmingly positive reactions apple silicon black magic fuckery face with tears of joy,0,1,0
41,interesting developer feed back on new apple silicon,0,1,0
42,here are all of the games found to be compatible with macs so far tspds techinspades mmacs apple silicon mac macbook gaming gameres,0,1,0
43,apple silicon mbps are even better though eager for solution for running windows apps on it before upgrading,0,1,0
44,the full list of core formulae support for apple silicon is being tracked upstream here,0,1,0
45,apple macbook air has that apple silicon magic ars technica,0,1,0
46,in case if you wonder how apple silicon virtual machine behaves with moderate to intensive workload or how windows runs on it here picture,0,1,0
47,re married amp moved to silicon valley worked at apple as consultant pratima aravabhoomi podcast,0,1,0
48,once again apple has executed excellently amp admirably with their latest silicon efforts thoroughly impressed with the combination of clever solutions in culminating in momentous lead the mac has re entered my purchase consideration set for the first time in years,0,1,0
